City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
552,sao joao da barra,BR,73.49,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
556,ambad,IN,86.92,scattered clouds,19.6167,75.8,"चांगले नगर, अंबड शहर"
567,dzaoudzi,YT,80.49,clear sky,-12.7887,45.2699,Le Rocher
568,sechura,PE,77.32,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
570,kloulklubed,PW,83.14,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
571,siocon,PH,78.69,overcast clouds,7.7061,122.1353,ABS Hotel
576,auki,SB,79.34,scattered clouds,-8.7676,160.7034,Auki Motel
578,puerto penasco,MX,78.91,few clouds,31.3167,-113.5333,Playa Bonita Resort
582,bambanglipuro,ID,79.34,overcast clouds,-7.95,110.2833,Puri Brata
585,newton,US,87.3,clear sky,42.337,-71.2092,Sheraton Boston Needham Hotel
586,rampur hat,IN,82.92,clear sky,24.1667,87.7833,Amantran Resort
587,kutum,SD,82.96,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
589,nhulunbuy,AU,74.01,few clouds,-12.2333,136.7667,East Arnhem Real Estate
590,wyndham,US,75.24,few clouds,37.6985,-77.6125,Hilton Richmond Hotel & Spa/Short Pump
595,praya,CV,79.34,clear sky,14.9215,-23.5087,LT Aparthotel
596,gandajika,CD,76.75,overcast clouds,-6.75,23.95,Hôtel Memorial
597,cabedelo,BR,79.47,broken clouds,-6.9811,-34.8339,Hotel Pigalle
602,iranshahr,IR,85.64,clear sky,27.2025,60.6848,نیک سرشت
605,mabaruma,GY,79.41,few clouds,8.2,-59.7833,Monty Brooms Guest House
607,el reno,US,87.19,scattered clouds,35.5323,-97.955,Home2 Suites by Hilton El Reno
609,sao gabriel da cachoeira,BR,80.29,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
611,avera,US,76.51,overcast clouds,33.194,-82.5271,
614,araouane,ML,89.26,scattered clouds,18.9048,-3.5265,
615,freeport,US,74.28,overcast clouds,40.6576,-73.5832,The Freeport Inn and Marina
616,belem de sao francisco,BR,89.17,overcast clouds,-8.7539,-38.9658,Village Hotel
618,springfield,US,90.0,clear sky,37.2153,-93.2982,Best Western Route 66 Rail Haven
619,greenville,US,78.82,scattered clouds,35.6127,-77.3663,"Holiday Inn Express Greenville, an IHG Hotel"
621,tucurui,BR,77.58,light rain,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
623,luba,GQ,81.09,light rain,3.4568,8.5547,
625,ukiah,US,76.15,scattered clouds,39.1502,-123.2078,Hampton Inn Ukiah
633,puerto plata,DO,85.91,broken clouds,19.7934,-70.6884,Be Live Collection Marien
635,umm kaddadah,SD,84.79,overcast clouds,13.6017,26.6876,
636,dong hoi,VN,79.02,overcast clouds,17.4833,106.6,Nam Long Hotel
637,martapura,ID,75.29,fog,-3.4167,114.85,Montana Hotel Syariah
638,sinnamary,GF,79.99,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
645,bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
646,adre,TD,86.77,scattered clouds,13.4667,22.2,
647,chapleau,CA,82.62,scattered clouds,47.8405,-83.4034,Nemegosenda Lake Lodge
649,mangrol,IN,83.19,scattered clouds,21.1167,70.1167,Hotel The Royal Honours
651,clovis,US,80.2,clear sky,36.8252,-119.7029,Fairfield Inn & Suites by Marriott Fresno Clovis
652,alofi,NU,76.51,overcast clouds,-19.0595,-169.9187,Taloa Heights
653,nioro,GM,84.74,overcast clouds,13.35,-15.75,
655,morro bay,US,88.09,clear sky,35.3658,-120.8499,Inn at Morro Bay
656,san jose,US,80.69,smoke,37.3394,-121.895,The Westin San Jose
660,dhuburi,IN,75.27,scattered clouds,26.0333,89.9667,"Hotel Samrat, Dhubri"
663,pacifica,US,80.62,clear sky,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
664,beatrice,US,83.17,clear sky,40.2681,-96.747,Victorian Inn Beatrice
665,thinadhoo,MV,82.96,overcast clouds,0.5333,72.9333,
667,biak,ID,75.99,overcast clouds,-0.9131,122.8766,Penginapan Kim
670,impfondo,CG,74.84,broken clouds,1.6381,18.0667,Auberge La Place de Jules
673,mogadishu,SO,81.07,overcast clouds,2.0371,45.3438,Hotel Juba
