City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
213,thompson,CA,2022-05-13 21:01:41,55.7435,-97.8558,37.56,87,100,16.11,overcast clouds
214,moses lake,US,2022-05-13 21:00:49,47.1301,-119.2781,57.88,25,61,10.89,broken clouds
215,santa maria,BR,2022-05-13 20:57:11,-29.6842,-53.8069,65.5,63,0,8.05,clear sky
216,prachuap khiri khan,TH,2022-05-13 21:01:41,12.2167,99.75,81.68,90,100,2.35,light rain
217,srednekolymsk,RU,2022-05-13 21:01:42,67.45,153.6833,38.19,75,63,2.42,broken clouds
218,takoradi,GH,2022-05-13 20:57:24,4.8845,-1.7554,81.73,84,59,10.4,broken clouds
219,anloga,GH,2022-05-13 21:01:42,5.7947,0.8973,83.48,81,19,13.24,few clouds
220,pevek,RU,2022-05-13 21:01:43,69.7008,170.3133,29.05,78,94,19.19,overcast clouds
221,lampitak,PH,2022-05-13 21:01:43,6.4322,125.0525,68.05,95,98,0.58,overcast clouds
222,sioux lookout,CA,2022-05-13 21:01:44,50.1001,-91.917,75.83,40,13,13.2,few clouds
223,vila franca do campo,PT,2022-05-13 21:01:44,37.7167,-25.4333,66.2,89,100,7.65,light rain
224,manjacaze,MZ,2022-05-13 21:01:45,-24.7117,33.8828,64.6,90,1,6.17,clear sky
225,mecca,SA,2022-05-13 21:01:45,21.4267,39.8261,90.77,32,0,3.58,clear sky
226,taltal,CL,2022-05-13 21:00:20,-25.4,-70.4833,63.37,71,23,4.94,few clouds
227,kumba,CM,2022-05-13 21:01:46,4.6363,9.4469,73.4,98,70,1.48,light rain
228,polovinnoye,RU,2022-05-13 21:01:46,54.7914,65.9864,54.19,57,100,14.12,overcast clouds
229,marystown,CA,2022-05-13 21:01:51,47.1666,-55.1483,49.55,63,100,14.05,overcast clouds
230,marsa matruh,EG,2022-05-13 21:01:51,31.3525,27.2453,67.48,65,100,7.49,overcast clouds
231,kargasok,RU,2022-05-13 21:01:52,59.0556,80.8572,54.61,45,36,8.19,scattered clouds
232,addanki,IN,2022-05-13 21:01:52,15.8167,79.9833,82.17,87,11,5.53,few clouds
233,lafiagi,NG,2022-05-13 21:01:53,8.8667,5.4167,86.11,57,79,0.51,light rain
234,raga,SS,2022-05-13 21:00:18,8.4596,25.678,77.95,68,100,3.85,overcast clouds
235,pisco,PE,2022-05-13 21:01:54,-13.7,-76.2167,67.01,84,9,7.99,clear sky
236,baghdad,IQ,2022-05-13 21:01:54,33.3406,44.4009,76.91,14,0,10.36,dust
237,kharp,RU,2022-05-13 21:01:55,66.8014,65.8081,36.84,97,99,4.61,overcast clouds
238,rosetta,EG,2022-05-13 21:01:55,31.4044,30.4164,68.52,74,100,12.26,overcast clouds
239,vila velha,BR,2022-05-13 21:01:55,-20.3297,-40.2925,74.8,79,95,8.12,overcast clouds
240,imeni babushkina,RU,2022-05-13 21:01:56,59.7573,43.1285,42.55,96,100,5.79,light rain
241,puerto ayacucho,VE,2022-05-13 21:01:56,5.6639,-67.6236,87.48,67,100,1.72,overcast clouds
242,north myrtle beach,US,2022-05-13 21:01:57,33.816,-78.68,78.35,80,92,5.01,overcast clouds
243,tsiroanomandidy,MG,2022-05-13 21:01:57,-18.7667,46.0333,61.68,67,18,1.54,few clouds
244,manado,ID,2022-05-13 21:01:58,1.487,124.8455,77.77,100,40,2.3,scattered clouds
245,staroaleyskoye,RU,2022-05-13 21:01:58,51.0061,82.0,55.9,53,4,4.07,clear sky
246,ivybridge,GB,2022-05-13 21:01:58,50.3904,-3.9191,54.68,81,75,7.47,broken clouds
247,abu dhabi,AE,2022-05-13 20:59:25,24.4667,54.3667,82.51,52,0,9.22,clear sky
248,te anau,NZ,2022-05-13 21:01:59,-45.4167,167.7167,52.52,94,100,3.13,light rain
249,georgetown,MY,2022-05-13 21:01:59,5.4112,100.3354,82.33,83,20,0.0,thunderstorm
250,surazh,RU,2022-05-13 21:02:00,53.0175,32.3918,46.49,86,31,7.94,scattered clouds
251,alta floresta,BR,2022-05-13 21:02:00,-9.8756,-56.0861,79.61,73,90,2.66,overcast clouds
252,la ronge,CA,2022-05-13 21:02:01,55.1001,-105.2842,43.2,70,100,13.42,overcast clouds
253,longyearbyen,SJ,2022-05-13 21:02:01,78.2186,15.6401,22.84,63,0,12.66,clear sky
254,moultrie,US,2022-05-13 21:02:02,31.1799,-83.7891,78.57,78,40,4.61,scattered clouds
255,tessalit,ML,2022-05-13 21:02:02,20.1986,1.0114,87.67,8,5,12.26,clear sky
256,mount gambier,AU,2022-05-13 21:02:02,-37.8333,140.7667,58.91,88,100,18.41,overcast clouds
257,xai-xai,MZ,2022-05-13 21:02:03,-25.0519,33.6442,67.46,87,1,8.14,clear sky
258,bilma,NE,2022-05-13 21:02:03,18.6853,12.9164,85.91,15,3,15.7,clear sky
259,kurunegala,LK,2022-05-13 21:02:04,7.4863,80.3623,76.05,94,100,7.23,overcast clouds
